phone_id,brand,model,marketing_name,release_year,release_month,operating_system,os_version,5g_supported,screen_size_inches,screen_resolution,refresh_rate_hz,panel_type,processor_brand,processor_model,core_count,ram_gb,storage_gb,card_slot_available,main_camera_mp,num_rear_cameras,front_camera_mp,battery_capacity_mah,charging_speed_w,wireless_charging,weight_grams,thickness_mm,body_material,water_resistance_rating,original_price_usd,region_market,stock_availability,user_rating,review_count,discounted_price_usd
135078,Realme,Model_488,Lite 35078,2024,5,Android,14,Yes,5.6,FHD+,90,IPS LCD,Exynos,Gen_4,8,8,128,No,48,1,12,4500,33,No,224,8.0,Glass/Plastic,IP53,1048,MEA,3481,5.0,14790,797.82
229286,Realme,Model_686,Lite 129286,2025,12,Android,15,No,6.7,FHD+,90,OLED,Snapdragon,Gen_4,8,12,256,Yes,108,3,50,6000,100,No,223,8.2,Glass/Aluminum,IP68,1367,Europe,1008,4.8,13151,1063.94
116925,OnePlus,Model_560,Pro Max 16925,2024,12,Android,14,Yes,6.3,QHD+,120,IPS LCD,,Gen_2,6,6,256,Yes,50,3,12,4000,18,Yes,204,7.5,Titanium,IP53,909,Asia,181,3.9,10828,812.76
157363,Motorola,Model_833,Lite 57363,2025,5,Android,15,Yes,6.6,FHD+,90,AMOLED,MediaTek Dimensity,Gen_4,6,8,128,Yes,48,1,12,6000,45,No,177,7.2,Titanium,None,968,MEA,4914,4.6,3598,825.46
230934,Huawei,Model_261,Lite 130934,2026,12,Android,14,Yes,5.6,FHD+,60,Super AMOLED,Exynos,Gen_1,8,6,64,Yes,64,4,8,6000,25,No,170,7.7,Eco-Leather,IP67,1434,Asia,93,4.8,20041,1257.2
106347,Xiaomi,Model_214,Lite 6347,2024,7,Android,15,No,5.6,QHD+,60,OLED,Helio,Gen_1,8,8,512,Yes,64,1,16,4000,45,Yes,201,8.1,Glass/Plastic,None,234,Europe,1701,4.5,15329,177.4
101929,OnePlus,Model_201,Lite 1929,2024,8,Android,17,Yes,5.8,HD+,120,Super AMOLED,MediaTek Dimensity,Gen_4,8,4,512,Yes,48,2,12,4000,120,No,164,8.7,Glass/Aluminum,IP68,1448,Europe,1462,5.0,21742,1265.67
245438,Motorola,Model_437,Lite 145438,2025,3,Android,16,Yes,5.5,QHD+,120,OLED,Exynos,Gen_2,8,16,256,No,48,1,8,6000,100,Yes,210,8.7,Glass/Plastic,None,1336,North America,217,4.8,21312,1114.8
115661,Samsung,Model_487,Lite 15661,2025,9,Android,17,Yes,5.7,FHD+,120,OLED,MediaTek Dimensity,Gen_4,8,8,128,Yes,48,4,50,6000,33,No,195,8.9,Plastic,None,769,Asia,1824,4.8,24900,719.2
119221,Xiaomi,Model_248,Lite 19221,2025,3,Android,16,Yes,6.5,QHD+,120,Super AMOLED,Snapdragon,Gen_2,8,6,256,Yes,48,3,16,4000,67,Yes,215,7.7,Glass/Aluminum,IP67,593,North America,1049,4.5,24122,453.5
200058,Samsung,Model_948,Ultra 100058,2023,10,Android,15,Yes,5.5,FHD+,144,OLED,Snapdragon,Gen_1,8,8,256,No,48,3,50,4500,67,No,174,7.1,Titanium,None,1522,North America,3678,3.7,23122,1317.64
121355,Samsung,Model_456,Pro Max 21355,2023,9,Android,16,Yes,5.6,FHD+,120,AMOLED,Helio,Gen_1,6,8,64,Yes,50,3,12,6000,67,No,202,9.3,Plastic,None,870,MEA,1081,4.7,24566,737.76
198149,Oppo,Model_810,Lite 98149,2026,6,Android,14,Yes,6.2,FHD+,120,OLED,Helio,Gen_4,8,8,512,Yes,108,2,16,4500,100,No,195,8.2,Glass/Plastic,IP67,404,Asia,1506,3.9,20047,360.09
189772,OnePlus,Model_993,Lite 89772,2024,2,Android,17,Yes,5.9,FHD+,60,Super AMOLED,Exynos,Gen_1,8,6,128,No,50,1,8,6000,100,Yes,210,7.7,Titanium,IP53,584,North America,4851,3.6,9690,478.8
198710,Huawei,Model_632,Pro Max 98710,2024,11,Android,17,Yes,6.8,QHD+,60,AMOLED,Tensor,Gen_1,8,8,256,Yes,50,1,16,4500,120,No,215,9.2,Titanium,IP53,1400,Global,1972,4.1,24396,1265.82
131317,Xiaomi,Model_759,Lite 31317,2023,4,Android,15,Yes,5.9,HD+,60,IPS LCD,Snapdragon,Gen_2,8,8,256,Yes,64,3,16,5000,100,Yes,238,8.9,Glass/Aluminum,None,296,North America,1313,4.1,17061,229.96
110424,Apple,Model_699,Lite 10424,2025,1,iOS,17,Yes,6.4,FHD+,60,AMOLED,Apple A-Series,Gen_4,8,4,128,No,200,1,32,4000,100,No,202,8.5,Glass/Aluminum,IP67,1256,Global,2745,3.9,21617,1066.18
185400,Google,Model_114,Pro Max 85400,2024,12,Android,16,Yes,5.9,FHD+,120,OLED,MediaTek Dimensity,Gen_3,8,6,256,Yes,12,3,8,5500,67,No,162,9.2,Glass/Aluminum,None,373,Asia,3245,4.9,10500,293.98
243624,Google,Model_651,Lite 143624,2024,8,Android,14,No,5.8,HD+,60,IPS LCD,Tensor,Gen_3,6,8,64,Yes,48,4,12,4500,120,No,220,7.8,Eco-Leather,None,1332,Europe,2880,4.4,14898,1168.24
185683,Realme,Model_508,Lite 85683,2024,8,Android,14,No,6.5,QHD+,60,AMOLED,MediaTek Dimensity,Gen_2,6,8,64,Yes,108,3,16,5500,18,No,219,8.2,Glass/Aluminum,IP67,1310,North America,3769,4.3,2622,1192.5
213755,Realme,Model_845,Pro Max 113755,2023,3,Android,17,Yes,6.5,FHD+,144,Super AMOLED,Tensor,Gen_2,8,8,256,Yes,50,3,8,5000,45,No,199,8.2,Glass/Plastic,IP53,786,Global,399,3.9,10192,693.66
119373,Oppo,Model_397,Lite 19373,2023,3,Android,16,No,5.6,QHD+,120,AMOLED,Tensor,Gen_4,8,8,256,No,200,2,16,6000,45,No,205,9.0,Plastic,None,942,Europe,3013,3.9,14619,740.13
210197,OnePlus,Model_475,Lite 110197,2025,4,Android,17,Yes,5.6,FHD+,120,Super AMOLED,Apple A-Series,Gen_4,8,4,128,Yes,12,2,32,4500,45,No,204,9.3,Eco-Leather,,1120,MEA,3102,4.5,12960,857.48
203758,Google,Model_304,Lite 103758,2025,11,Android,15,Yes,6.7,FHD+,120,AMOLED,Tensor,Gen_3,8,16,128,Yes,50,2,12,4500,100,Yes,176,8.4,Glass/Plastic,None,1142,MEA,4056,4.8,17639,1007.16
193387,OnePlus,Model_683,Ultra 93387,2025,10,Android,16,Yes,,QHD+,120,AMOLED,MediaTek Dimensity,Gen_3,4,8,128,Yes,12,3,12,5000,33,Yes,215,8.6,Glass/Aluminum,None,273,Global,1015,3.6,4649,224.13
156884,Apple,Model_235,Lite 56884,2023,5,iOS,16,Yes,5.8,FHD+,90,Super AMOLED,Exynos,Gen_4,4,8,128,No,12,3,8,5500,18,Yes,167,9.4,Glass/Aluminum,,1135,Asia,1665,4.7,9991,904.84
199557,Apple,Model_753,Lite 99557,2024,3,iOS,14,Yes,5.7,FHD+,144,Super AMOLED,Snapdragon,Gen_4,8,8,128,No,64,2,8,6000,100,Yes,210,8.9,Glass/Plastic,IP67,1168,MEA,2709,3.6,13934,1050.62
169681,Google,Model_596,Lite 69681,2024,5,Android,16,Yes,6.5,FHD+,120,OLED,Tensor,Gen_4,8,8,128,No,108,3,50,6000,18,No,212,7.6,Glass/Aluminum,,628,North America,2634,4.9,2226,547.86
